state,statefp,county,countyfp,year,month,trap_type,num_sites,num_collection_events,num_trap_nights,num_aegypti_collected,num_albopictus_collected,num_collections_aegypti,num_collections_albopictus
North Carolina,37,Forsyth,067,2017,4,CO2,6,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2017,5,BGS,1,1,1,0,424,0,1
North Carolina,37,Forsyth,067,2017,5,CO2,9,13,13,0,14,0,4
North Carolina,37,Forsyth,067,2017,5,GRAV,9,17,18,0,55,0,8
North Carolina,37,Forsyth,067,2017,6,BGS,2,2,2,0,31,0,2
North Carolina,37,Forsyth,067,2017,6,CO2,14,18,18,0,10,0,5
North Carolina,37,Forsyth,067,2017,6,GRAV,13,32,38,0,68,0,17
North Carolina,37,Forsyth,067,2017,7,BGS,4,5,5,0,1381,0,5
North Carolina,37,Forsyth,067,2017,7,CO2,7,8,8,0,2,0,1
North Carolina,37,Forsyth,067,2017,7,GRAV,12,25,25,0,267,0,17
North Carolina,37,Forsyth,067,2017,8,GRAV,1,1,1,0,3,0,1
North Carolina,37,Forsyth,067,2018,5,CO2,4,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2018,5,GRAV,9,26,26,0,15,0,9
North Carolina,37,Forsyth,067,2018,6,BGS,3,3,16,0,68,0,3
North Carolina,37,Forsyth,067,2018,6,CO2,10,10,10,0,5,0,3
North Carolina,37,Forsyth,067,2018,6,GRAV,11,15,15,0,32,0,11
North Carolina,37,Forsyth,067,2018,7,BGS,1,1,1,0,1,0,1
North Carolina,37,Forsyth,067,2018,7,CO2,4,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2018,7,GRAV,18,32,38,0,140,0,24
North Carolina,37,Forsyth,067,2018,8,CO2,6,7,7,0,17,0,3
North Carolina,37,Forsyth,067,2018,8,GRAV,17,32,32,0,134,0,25
North Carolina,37,Forsyth,067,2018,9,BGS,1,1,1,0,2,0,1
North Carolina,37,Forsyth,067,2018,9,GRAV,3,6,6,0,147,0,6
North Carolina,37,Forsyth,067,2018,10,CO2,4,5,5,0,0,0,0
North Carolina,37,Forsyth,067,2018,10,GRAV,3,3,3,0,45,0,3
North Carolina,37,New Hanover,129,2017,2,CO2,8,11,11,0,0,0,0
North Carolina,37,New Hanover,129,2017,3,CO2,8,31,37,0,0,0,0
North Carolina,37,New Hanover,129,2017,4,CO2,8,28,28,0,2,0,1
North Carolina,37,New Hanover,129,2017,5,CO2,12,45,45,0,69,0,17
North Carolina,37,New Hanover,129,2017,6,BGS,2,2,3,0,5,0,2
North Carolina,37,New Hanover,129,2017,6,CO2,10,36,36,0,58,0,13
North Carolina,37,New Hanover,129,2017,7,CO2,11,39,39,0,63,0,18
North Carolina,37,New Hanover,129,2017,8,CO2,13,48,48,0,70,0,22
North Carolina,37,New Hanover,129,2017,9,BGS,1,3,3,0,3,0,2
North Carolina,37,New Hanover,129,2017,9,CO2,11,38,38,0,22,0,7
North Carolina,37,New Hanover,129,2017,10,BGS,1,13,16,0,2,0,2
North Carolina,37,New Hanover,129,2017,10,CO2,13,48,48,0,10,0,5
North Carolina,37,New Hanover,129,2017,11,BGS,1,4,4,0,1,0,1
North Carolina,37,New Hanover,129,2017,11,CO2,9,36,36,0,4,0,3
North Carolina,37,New Hanover,129,2017,12,BGS,1,2,2,0,1,0,1
North Carolina,37,New Hanover,129,2018,1,BGS,1,1,1,0,0,0,0
North Carolina,37,New Hanover,129,2018,2,BGS,2,3,3,0,0,0,0
North Carolina,37,New Hanover,129,2018,3,BGS,1,4,8,0,0,0,0
North Carolina,37,New Hanover,129,2018,3,CO2,9,31,31,0,0,0,0
North Carolina,37,New Hanover,129,2018,4,BGS,1,4,4,0,0,0,0
North Carolina,37,New Hanover,129,2018,4,CO2,9,36,36,0,0,0,0
North Carolina,37,New Hanover,129,2018,4,GRAV,1,1,1,0,1,0,1
North Carolina,37,New Hanover,129,2018,5,BGS,2,9,9,0,1,0,1
North Carolina,37,New Hanover,129,2018,5,CO2,10,48,48,0,23,0,9
North Carolina,37,New Hanover,129,2018,5,GRAV,1,1,1,0,0,0,0
North Carolina,37,New Hanover,129,2018,6,BGS,2,8,23,0,30,0,6
North Carolina,37,New Hanover,129,2018,6,CO2,11,39,39,0,147,0,16
North Carolina,37,New Hanover,129,2018,6,GRAV,1,1,1,0,0,0,0
North Carolina,37,New Hanover,129,2018,7,BGS,3,11,32,0,25,0,7
North Carolina,37,New Hanover,129,2018,7,CO2,19,59,59,0,204,0,36
North Carolina,37,New Hanover,129,2018,7,GRAV,2,2,2,0,9,0,2
North Carolina,37,New Hanover,129,2018,8,BGS,2,14,31,0,74,0,10
North Carolina,37,New Hanover,129,2018,8,CO2,13,35,44,0,228,0,24
North Carolina,37,New Hanover,129,2018,8,GRAV,1,1,1,0,1,0,1
North Carolina,37,New Hanover,129,2018,9,BGS,1,3,3,0,16,0,3
North Carolina,37,New Hanover,129,2018,9,CO2,10,31,31,0,1176,0,17
North Carolina,37,New Hanover,129,2018,10,BGS,3,15,30,0,34,0,8
North Carolina,37,New Hanover,129,2018,10,CO2,12,39,39,0,59,0,19
North Carolina,37,New Hanover,129,2018,10,GRAV,3,3,3,0,5,0,2
North Carolina,37,New Hanover,129,2018,11,BGS,1,9,28,0,2,0,2
North Carolina,37,New Hanover,129,2018,11,CO2,12,39,39,0,10,0,9
North Carolina,37,New Hanover,129,2018,12,BGS,1,1,6,0,0,0,0
North Carolina,37,Transylvania,175,2017,4,BGS,2,6,8,0,0,0,0
North Carolina,37,Transylvania,175,2017,4,CO2,3,3,3,0,0,0,0
North Carolina,37,Transylvania,175,2017,5,BGS,3,10,20,0,0,0,0
North Carolina,37,Transylvania,175,2017,5,CO2,2,2,2,0,0,0,0
North Carolina,37,Transylvania,175,2017,6,BGS,4,9,18,0,16,0,3
North Carolina,37,Transylvania,175,2017,6,CO2,4,4,4,0,1,0,1
North Carolina,37,Transylvania,175,2017,7,BGS,2,2,2,0,3,0,2
North Carolina,37,Transylvania,175,2017,8,BGS,2,6,8,0,29,0,5
North Carolina,37,Transylvania,175,2017,9,BGS,3,10,13,0,80,0,7
North Carolina,37,Transylvania,175,2017,9,CO2,2,2,2,0,0,0,0
North Carolina,37,Transylvania,175,2017,10,BGS,3,5,8,0,29,0,2
North Carolina,37,Transylvania,175,2017,10,CO2,2,2,2,0,0,0,0
North Carolina,37,Transylvania,175,2018,4,BGS,2,6,12,0,0,0,0
North Carolina,37,Transylvania,175,2018,5,BGS,3,6,10,0,0,0,0
North Carolina,37,Transylvania,175,2018,5,CO2,1,1,1,0,0,0,0
North Carolina,37,Transylvania,175,2018,5,GRAV,1,1,1,0,0,0,0
North Carolina,37,Transylvania,175,2018,6,BGS,3,5,10,0,4,0,2
North Carolina,37,Transylvania,175,2018,6,GRAV,1,2,2,0,1,0,1
North Carolina,37,Transylvania,175,2018,7,BGS,1,1,1,0,8,0,1
North Carolina,37,Transylvania,175,2018,9,BGS,2,2,4,0,5,0,2
North Carolina,37,Wake,183,2017,4,BGS,1,1,1,0,1,0,1
North Carolina,37,Wake,183,2017,5,BGS,4,9,9,0,29,0,7
North Carolina,37,Wake,183,2017,6,BGS,3,14,14,0,383,0,11
North Carolina,37,Wake,183,2017,7,BGS,3,12,12,0,553,0,11
North Carolina,37,Wake,183,2017,8,BGS,3,14,14,0,338,0,14
North Carolina,37,Wake,183,2017,9,BGS,3,12,12,0,332,0,12
North Carolina,37,Wake,183,2017,10,BGS,3,12,12,0,164,0,10
North Carolina,37,Wake,183,2017,11,BGS,3,9,9,0,27,0,3
North Carolina,37,Wake,183,2018,5,BGS,6,21,21,0,248,0,20
North Carolina,37,Wake,183,2018,5,CO2,1,1,1,0,0,0,0
North Carolina,37,Wake,183,2018,5,GRAV,1,1,1,0,2,0,1
North Carolina,37,Wake,183,2018,6,BGS,6,29,29,0,1847,0,23
North Carolina,37,Wake,183,2018,6,CO2,1,1,1,0,11,0,1
North Carolina,37,Wake,183,2018,6,GRAV,1,1,1,0,6,0,1
North Carolina,37,Wake,183,2018,7,BGS,6,26,26,0,682,0,25
North Carolina,37,Wake,183,2018,7,CO2,1,1,1,0,7,0,1
North Carolina,37,Wake,183,2018,7,GRAV,1,1,1,0,6,0,1
North Carolina,37,Wake,183,2018,8,BGS,5,21,21,0,446,0,20
North Carolina,37,Wake,183,2018,8,CO2,1,1,1,0,11,0,1
North Carolina,37,Wake,183,2018,8,GRAV,1,1,1,0,9,0,1
North Carolina,37,Wake,183,2018,9,BGS,5,19,19,0,156,0,13
North Carolina,37,Wake,183,2018,9,CO2,1,1,1,0,13,0,1
North Carolina,37,Wake,183,2018,9,GRAV,1,1,1,0,2,0,1
North Carolina,37,Wake,183,2018,10,BGS,5,24,24,0,284,0,14
North Carolina,37,Wake,183,2018,10,CO2,1,1,1,0,0,0,0
North Carolina,37,Wake,183,2018,10,GRAV,1,1,1,0,1,0,1
