"","year","month","county","mean_t","sum_p","prop_pos","std_catch"
"1",2017,1,"Wake",8.05555555555556,95.758,NA,NA
"2",2017,2,"Wake",11.8333333333333,16.764,NA,NA
"3",2017,3,"Wake",11.1111111111111,79.502,NA,NA
"4",2017,4,"Wake",19.1666666666667,219.964,NA,NA
"5",2017,5,"Wake",20.7777777777778,143.256,NA,NA
"6",2017,6,"Wake",24.2222222222222,156.464,NA,NA
"7",2017,7,"Wake",27.7777777777778,60.452,NA,NA
"8",2017,8,"Wake",26,127,NA,NA
"9",2017,9,"Wake",22.1666666666667,57.912,NA,NA
"10",2017,10,"Wake",17.8888888888889,108.966,NA,NA
"11",2017,11,"Wake",9.94444444444444,32.512,NA,NA
"12",2017,12,"Wake",5.72222222222222,58.166,NA,NA
"13",2018,1,"Wake",2.72222222222222,99.568,NA,NA
"14",2018,2,"Wake",11.2777777777778,43.18,NA,NA
"15",2018,3,"Wake",7.66666666666667,121.92,NA,NA
"16",2018,4,"Wake",14,135.89,NA,NA
"17",2018,5,"Wake",23.4444444444444,130.048,0,0
"18",2018,6,"Wake",25.7222222222222,50.292,1,11
"19",2018,7,"Wake",26.4444444444444,124.968,1,7
"20",2018,8,"Wake",26.0555555555556,168.148,1,11
"21",2018,9,"Wake",24.9444444444444,202.438,1,13
"22",2018,10,"Wake",16.6666666666667,116.332,0,0
"23",2018,11,"Wake",9.11111111111111,180.34,NA,NA
"24",2018,12,"Wake",7.44444444444444,158.242,NA,NA
"25",2017,1,"Forsyth",6.61111111111111,130.048,NA,NA
"26",2017,2,"Forsyth",10.5555555555556,12.446,NA,NA
"27",2017,3,"Forsyth",10.5555555555556,65.024,NA,NA
"28",2017,4,"Forsyth",17.7222222222222,145.796,0,0
"29",2017,5,"Forsyth",19.6666666666667,180.848,0.307692307692308,1.07692307692308
"30",2017,6,"Forsyth",23.5555555555556,252.476,0.277777777777778,0.555555555555556
"31",2017,7,"Forsyth",26.6666666666667,26.416,0.125,0.25
"32",2017,8,"Forsyth",24.6111111111111,61.976,NA,NA
"33",2017,9,"Forsyth",21.2222222222222,71.12,NA,NA
"34",2017,10,"Forsyth",16.9444444444444,76.962,NA,NA
"35",2017,11,"Forsyth",9.61111111111111,24.13,NA,NA
"36",2017,12,"Forsyth",5.11111111111111,40.64,NA,NA
"37",2018,1,"Forsyth",1.72222222222222,92.71,NA,NA
"38",2018,2,"Forsyth",10,65.024,NA,NA
"39",2018,3,"Forsyth",7.38888888888889,109.728,NA,NA
"40",2018,4,"Forsyth",13.6666666666667,112.522,NA,NA
"41",2018,5,"Forsyth",22.8888888888889,95.758,0,0
"42",2018,6,"Forsyth",25.3333333333333,64.262,0.3,0.5
"43",2018,7,"Forsyth",25.8333333333333,153.416,0,0
"44",2018,8,"Forsyth",25.5,177.038,0.428571428571429,2.42857142857143
"45",2018,9,"Forsyth",24.2222222222222,232.918,NA,NA
"46",2018,10,"Forsyth",16.6111111111111,183.388,0,0
"47",2018,11,"Forsyth",7.77777777777778,164.084,NA,NA
"48",2018,12,"Forsyth",6.05555555555556,177.546,NA,NA
"49",2017,1,"New Hanover",10.7222222222222,107.188,NA,NA
"50",2017,2,"New Hanover",13,33.782,0,0
"51",2017,3,"New Hanover",11.9444444444444,68.834,0,0
"52",2017,4,"New Hanover",20,179.07,0.0357142857142857,0.0714285714285714
"53",2017,5,"New Hanover",22.7777777777778,131.826,0.377777777777778,1.53333333333333
"54",2017,6,"New Hanover",25.3333333333333,256.794,0.361111111111111,1.61111111111111
"55",2017,7,"New Hanover",27.7777777777778,167.386,0.461538461538462,1.61538461538462
"56",2017,8,"New Hanover",26.3888888888889,258.572,0.458333333333333,1.45833333333333
"57",2017,9,"New Hanover",24.5555555555556,97.028,0.184210526315789,0.578947368421053
"58",2017,10,"New Hanover",20.1666666666667,165.354,0.104166666666667,0.208333333333333
"59",2017,11,"New Hanover",13.6111111111111,27.178,0.0833333333333333,0.111111111111111
"60",2017,12,"New Hanover",9.22222222222222,98.044,NA,NA
"61",2018,1,"New Hanover",5.27777777777778,173.228,NA,NA
"62",2018,2,"New Hanover",14.1666666666667,46.482,NA,NA
"63",2018,3,"New Hanover",10.6666666666667,82.55,0,0
"64",2018,4,"New Hanover",15.8333333333333,136.398,0,0
"65",2018,5,"New Hanover",23.7777777777778,364.744,0.1875,0.479166666666667
"66",2018,6,"New Hanover",27.1111111111111,213.614,0.41025641025641,3.76923076923077
"67",2018,7,"New Hanover",26.3888888888889,434.34,0.610169491525424,3.45762711864407
"68",2018,8,"New Hanover",27.6666666666667,137.922,0.685714285714286,5.18181818181818
"69",2018,9,"New Hanover",26.2222222222222,612.902,0.548387096774194,37.9354838709677
"70",2018,10,"New Hanover",19.9444444444444,63.5,0.487179487179487,1.51282051282051
"71",2018,11,"New Hanover",13.3333333333333,155.448,0.230769230769231,0.256410256410256
"72",2018,12,"New Hanover",10.5555555555556,179.832,NA,NA
"73",2017,1,"Transylvania",5.66666666666667,103.886,NA,NA
"74",2017,2,"Transylvania",7.55555555555556,27.432,NA,NA
"75",2017,3,"Transylvania",8.11111111111111,172.466,NA,NA
"76",2017,4,"Transylvania",14.7222222222222,217.932,0,0
"77",2017,5,"Transylvania",17.1666666666667,210.566,0,0
"78",2017,6,"Transylvania",20.7222222222222,98.298,0.25,0.25
"79",2017,7,"Transylvania",23.3888888888889,122.682,NA,NA
"80",2017,8,"Transylvania",21.7222222222222,118.11,NA,NA
"81",2017,9,"Transylvania",18.6666666666667,178.562,0,0
"82",2017,10,"Transylvania",14.1111111111111,381,0,0
"83",2017,11,"Transylvania",8.5,55.88,NA,NA
"84",2017,12,"Transylvania",3.72222222222222,82.804,NA,NA
"85",2018,1,"Transylvania",-0.666666666666666,146.558,NA,NA
"86",2018,2,"Transylvania",8.83333333333333,244.094,NA,NA
"87",2018,3,"Transylvania",6.66666666666667,128.27,NA,NA
"88",2018,4,"Transylvania",10.6111111111111,163.322,NA,NA
"89",2018,5,"Transylvania",19.3333333333333,452.12,0,0
"90",2018,6,"Transylvania",22.3333333333333,78.74,NA,NA
"91",2018,7,"Transylvania",22.6111111111111,259.08,NA,NA
"92",2018,8,"Transylvania",21.8888888888889,240.792,NA,NA
"93",2018,9,"Transylvania",22.2777777777778,237.49,NA,NA
"94",2018,10,"Transylvania",15.1666666666667,205.994,NA,NA
"95",2018,11,"Transylvania",5.88888888888889,258.826,NA,NA
"96",2018,12,"Transylvania",3.83333333333333,397.51,NA,NA
